Date,BAC return,C return,GS return,MS return,JPM return,WFC return
6/20/2006,-0.001272804,0.003973233,0.010504348,0.008846426,0.013516896,0.000300933
6/21/2006,0.004885302,0.007498438,0.031460829,0.043142757,0.017782168,0.002406739
6/22/2006,0.004861551,-0.004134794,-0.010144831,0.008910558,-0.003397234,-0.003301321
6/23/2006,-0.002734539,-0.008926718,-0.002629627,-0.005165806,-0.004869735,-0.013550136
6/26/2006,0.00105463,0.011730205,0.013385614,0.011725293,0.01541473,0.004884005
6/27/2006,-0.00337126,-0.011180124,-0.018278853,-0.005960265,-0.015903614,-0.010631835
6/28/2006,0.007399577,0.001884422,-0.004552868,0.001665556,0.010528893,0.016886706
6/29/2006,0.019937041,0.021107628,0.03897877,0.039906884,0.034165253,0.017512077
6/30/2006,-0.010288066,-0.01248465,-0.011629435,0.010713144,-0.015932521,-0.004747774
7/3/2006,0.014760915,0.01492228,0.013428173,0.012814428,0.020714286,0.005366726
7/5/2006,0.001229256,0.000816827,-0.009839292,-0.005779444,-0.010730114,-0.008303677
7/6/2006,0.003887866,0.00530504,-0.002451143,0.003456402,0.000943174,0.009270335
7/7/2006,-0.005299633,-0.003856302,-0.013746846,0.001252544,-0.000942285,0.009185185
7/10/2006,0.006967213,0.005297474,0.002289408,0.004065676,0.004008489,0.003229595
7/11/2006,0.0002035,0.005269558,-0.001209271,-0.004360691,0.006810709,0.007316359
7/12/2006,-0.01180061,-0.015524194,-0.022869442,-0.020334741,-0.014462328,-0.011040093
7/13/2006,-0.012147416,-0.019660045,-0.018723756,-0.018521475,-0.02035503,-0.00146886
7/14/2006,0.006877866,-0.006058074,-0.017186952,-0.012689117,-0.012080213,-0.003236246
7/17/2006,-0.001862968,-0.024800336,0.005496074,0.008403361,-0.003912937,0.011806375
7/18/2006,0.004562422,0.003232759,0.010435153,0.012418301,-0.000491039,-0.004667445
7/19/2006,0.031172585,0.015037594,0.03252775,0.030503551,0.057479735,0.038100821
7/20/2006,-0.006006006,-0.002962963,-0.012179356,-0.007987471,-0.001626016,-0.000564653
7/21/2006,0.009869084,-0.003820845,-0.021628323,-0.013103884,0.003955328,0.005649718
7/24/2006,0.008575987,0.011293416,0.034215714,0.027355623,0.02433372,-0.004494382
7/25/2006,0.004745897,-0.000210704,0.01082369,0.011678605,0.009728507,-0.002539503
7/26/2006,0.00354261,0.001685985,-0.007475251,-0.008003694,0.000448129,0.002263083
7/27/2006,0.000588351,-0.004628656,0.005970959,0.009464701,0.001119821,-0.011289867
7/28/2006,0.0125441,0.021559924,0.02333738,0.0179834,0.017449664,0.033685413
7/31/2006,-0.002516454,-0.000413822,0.006788822,0.004076702,0.003078276,-0.001104667
8/1/2006,0,0.00413993,-0.009754501,-0.008421053,-0.002411223,0.002764722
8/2/2006,0.008344654,0.004329004,-0.008991141,0.004397938,-0.000439464,-0.00192997
8/3/2006,0.000192456,-0.005131363,0.014676451,0.02370527,0.003737085,0.00359116
8/4/2006,0.006734655,0.00061894,0.005851414,-0.001622419,-0.011826544,0.004679328
8/7/2006,-0.003058104,-0.00556701,-0.002222367,-0.008125277,0.003324468,-0.008493151
8/8/2006,-0.001917178,0.001658719,-0.00786112,-0.012809056,-0.006185112,-0.012434374
8/9/2006,-0.009988475,-0.009935831,-0.009508088,-0.024140012,-0.014225383,-0.024342473
8/10/2006,-0.000388048,0.002927033,0.01079928,0.008503401,-0.006764374,-0.004301692
8/11/2006,-0.002329193,-0.0068793,-0.003429401,0.001992948,-0.002724177,0.002016129
8/14/2006,-0.005252918,0.001679261,-0.004897095,-0.00504896,-0.000910539,-0.004024145
8/15/2006,0.019949149,0.014459346,0.015162599,0.018606797,0.026201868,0.009235209
8/16/2006,0.002876318,0.002478827,0.015329184,0.010718599,0.009547069,0.007434944
8/17/2006,-0.003059273,0.000824232,-0.003484096,0.009260642,-0.000219925,0.000567698
8/18/2006,0.006712697,0.000617665,0.001489155,-0.006363771,0.00549934,-0.003120567
8/21/2006,-0.000571537,-0.002263374,-0.005495216,0.000893655,-0.005469263,0.001992032
8/22/2006,0.000762486,-0.001443597,0.002080218,0.009672619,-0.00241971,-0.009372337
8/23/2006,-0.000190476,0.00330442,-0.009406422,0.002947679,0.003748622,0.000860092
8/24/2006,0.000381025,0.002881844,-0.008513425,-0.004408523,0.003514938,0.008593526
8/25/2006,-0.007236717,-0.001642036,-0.008784676,-0.011365314,-0.003502627,-0.008804317
8/28/2006,0.001150969,0.009868421,-0.003598321,-0.001343685,0.010984183,0.006303725
8/29/2006,0.001916076,0.002850163,-0.016317796,-0.018687397,-0.001086484,-0.007687927
8/30/2006,-0.011283228,0.005278116,-0.000203957,-0.002132846,-0.005220796,-0.004591105
8/31/2006,-0.004448743,-0.003432956,0.010811914,0.004427481,-0.001530724,0.001729605
9/1/2006,0.003691471,0.000405268,0.003296334,0.015807874,0.001533071,0.002014388
9/5/2006,0.00174216,0.001012761,0.014348934,0.00882837,0.001530724,0.000287191
9/6/2006,-0.001932367,-0.00586807,-0.004032258,-0.01957876,0.001746725,0.006029285
9/7/2006,-0.002710552,-0.011805414,-0.013937745,-0.002118003,-0.014821273,-0.010559361
9/8/2006,0.002912056,0.003501545,0.008278926,0.011067314,0.001327434,0.008941448
9/11/2006,-0.009291521,0.00410509,0.008010681,-0.000299895,0.002872293,0.001715266
9/12/2006,0.010160219,0.001430908,0.048278146,0.02519874,0.013659396,0.008561644
9/13/2006,0.003868472,0.006327822,0.016236022,0.020190198,0.008476418,0.003961517
9/14/2006,0.000578035,-0.00020284,0.010319533,0.008461208,0.002155172,0.004509583
9/15/2006,-0.009243212,-0.002028809,0.001169087,0.008959044,0.009677419,0.006453423
9/18/2006,0.006413994,0.008131734,0.003134411,-0.001268499,-0.007880724,-0.00250906
9/19/2006,0.004828119,0.002218189,0.001041539,0.013971211,0.004723057,0.005310229
9/20/2006,0.008841053,0.004024145,0.019646245,0.006958942,0.008974359,0.009174312
9/21/2006,-0.004762812,-0.003006012,0.003301321,-0.009813407,-0.008682762,-0.005509642
9/22/2006,0.00363706,-0.005025126,0.002213581,0.001954216,0.00021363,-0.002493075
9/25/2006,0.010299447,0.011717172,0.006984241,0.011005851,0.001922255,0.009997223
9/26/2006,0.009628091,0.002995208,-5.93E-05,0.009508061,-0.000213174,0.002474567
9/27/2006,-0.004487659,-0.00517619,0.001897083,-0.011875512,-0.001279318,-0.007679649
9/28/2006,0.005259204,-0.00080048,0.00591716,0.006907031,0.006618275,-0.001658375
9/29/2006,0.00093423,-0.00520729,-0.004882353,0.000274386,-0.004029692,0.00166113
10/2/2006,0.000933358,-0.003623918,0.008985045,0.00178302,-0.001916525,-0.003593145
10/3/2006,0.014733308,0.012123661,0.020563595,0.007119387,0.018775336,0.01220527
10/4/2006,0.00753538,0.018766221,0.013547646,0.013322458,-0.005445026,0.003836668
10/5/2006,-0.005472455,-0.000783853,-0.006003625,0.000268312,-0.001684565,-0.003276003
10/6/2006,-0.00513573,0.001176701,0.000854701,-0.002011803,-0.011600928,-0.004656259
10/9/2006,0.004977876,0.000587659,0.010247652,0.007929042,0.005335041,0.001926252
10/10/2006,0.002201431,-0.005090055,0.0079459,0,0.008915305,-0.003570448
10/11/2006,-0.010799927,-0.008658009,0.000615006,-0.002933333,0.002314328,-0.001653804
10/12/2006,0.004071058,-0.003969829,0.014192323,0.020994918,0.013014274,0.002208724
10/13/2006,0.002395872,0.003985652,0.012891852,0.002881467,-0.002072109,0.000826446
10/16/2006,-0.012502298,-0.004565304,0.007451727,0.003134387,-0.008928571,-0.00357831
10/17/2006,-0.000558555,-0.001994018,-0.011607818,-0.013409712,0.005447308,0.007734807
10/18/2006,0.002421759,0.002797203,-0.000546239,0.006861969,-0.016253386,0.009046053
10/19/2006,-0.010221148,-0.006375772,-0.0159589,-0.001572739,-0.007201864,-0.001901657
10/20/2006,0.006759294,0.000802085,0.001943904,0.002887897,0.005333902,-0.002994012
10/23/2006,0.00074599,0.014225606,0.02383592,0.012434555,0.005730051,0.001092001
10/24/2006,-0.004286247,-0.002963256,0.017000541,0.010471881,-0.005275375,-0.005999455
10/25/2006,0.010668164,0.0079255,0.004099233,-0.008828045,0.002757743,-0.001646091
10/26/2006,0.003333333,-0.000786318,0.025290282,0.001936233,0.010577533,0.001099203
10/27/2006,-0.008859358,-0.009246508,-0.02435619,-0.015202267,-0.010048147,-0.003019489
10/30/2006,0.004096834,-0.004765687,0.00572428,0.001831502,0.003383379,0.000550661
10/31/2006,-0.0009273,0.000798085,0.000210804,-0.001958736,-0.000210748,-0.001375894
11/1/2006,-0.00538333,-0.001395534,-0.025238421,-0.034803088,-0.010750422,-0.00826674
